$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,3a8fd98a0645859a548bb302
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,83009.094,0.183,1.770,-3.845,0.00146,-0.15478,1.19775,16.58
$IMU,83009.170,9.704,6.042,-32.043,-0.18847,-0.13623,1.42187,16.63
$BARO,83009.188,101992.33,16.27
$MAG,83009.194,-0.448,-0.358,-0.174,14.4
$BARO,83009.229,101990.24,16.28
$HUM,83009.233,60.1,17.0
$IMU,83009.247,5.126,-16.906,-68.908,-0.02441,-0.11621,1.30664,16.65
$BARO,83009.269,101988.92,16.28
$MAG,83009.290,-0.499,-0.367,-0.180,14.4
$BARO,83009.309,101980.85,16.28
$HUM,83009.313,60.2,17.1
$IMU,83009.323,-4.577,-40.344,-53.833,0.05517,-0.03906,0.94921,16.64
$BARO,83009.349,101995.67,16.29
$MAG,83009.385,-0.540,-0.387,-0.172,14.4
$BARO,83009.390,102001.28,16.29
$HUM,83009.393,60.1,17.0
$IMU,83009.400,-5.798,-47.241,-51.452,0.06738,-0.17089,0.49658,16.67
$BARO,83009.430,101993.01,16.29
$BARO,83009.470,101985.70,16.29
$HUM,83009.473,60.2,17.1
$IMU,83009.476,26.733,-27.404,-51.025,0.17138,0.02343,0.58447,16.68
$MAG,83009.481,-0.562,-0.424,-0.172,14.4
$BARO,83009.511,101991.70,16.29
$BARO,83009.551,101991.09,16.29
$IMU,83009.552,31.860,5.065,-28.259,0.09082,0.16259,1.07568,16.67
$HUM,83009.554,60.1,17.1
$MAG,83009.577,-0.535,-0.456,-0.175,14.4
$BARO,83009.591,101996.50,16.30
$IMU,83009.629,-0.671,30.883,18.676,-0.17773,0.16748,1.40966,16.67
$BARO,83009.631,101988.14,16.30
$HUM,83009.634,60.2,17.1
$BARO,83009.672,101996.21,16.30
$MAG,83009.672,-0.526,-0.390,-0.168,14.4
$IMU,83009.705,-44.128,15.686,43.395,-0.47070,-0.41845,1.32470,16.74
$BARO,83009.712,101993.65,16.30
$HUM,83009.714,60.2,17.1
$BARO,83009.752,101995.60,16.30
$MAG,83009.768,-0.528,-0.363,-0.177,14.4
$IMU,83009.782,-27.343,-18.005,30.700,-0.01757,-0.43359,0.87988,16.72
$BARO,83009.793,101990.77,16.30
$HUM,83009.795,60.2,17.2
$BARO,83009.833,101996.77,16.30
$IMU,83009.858,4.760,0.244,42.968,-0.09863,-0.13623,0.74658,16.72
$MAG,83009.864,-0.511,-0.346,-0.174,14.7
$BARO,83009.873,101992.62,16.31
$HUM,83009.875,60.3,17.2
$BARO,83009.913,101983.44,16.31
$IMU,83009.935,4.821,4.333,33.874,0.04589,-0.01513,0.66650,16.71
$BARO,83009.954,101995.99,16.30
$HUM,83009.955,60.2,17.1
$MAG,83009.959,-0.493,-0.357,-0.175,14.4
$BARO,83009.994,101990.80,16.31
$IMU,83010.011,6.713,13.183,23.681,0.04833,-0.00976,0.79785,16.72
$VBAT,83010.017,4.126
$BARO,83010.034,101991.50,16.31
$HUM,83010.036,60.2,17.2
$MAG,83010.055,-0.472,-0.364,-0.180,14.4
$BARO,83010.074,101990.72,16.31
$IMU,83010.087,13.916,5.859,1.586,-0.04052,0.05664,1.29882,16.71
$BARO,83010.115,101995.72,16.31
$HUM,83010.116,60.2,17.2
$MAG,83010.151,-0.510,-0.363,-0.169,14.4
$BARO,83010.155,101995.53,16.31
$IMU,83010.164,-6.286,-20.080,-31.860,0.19824,-0.03076,1.45654,16.77
$BARO,83010.195,101989.43,16.31
$HUM,83010.196,60.3,17.2
$BARO,83010.236,101995.92,16.31
$IMU,83010.240,-26.306,-9.216,-39.672,0.10351,-0.40820,1.13623,16.73
$MAG,83010.246,-0.528,-0.348,-0.165,14.4
$BARO,83010.276,101991.09,16.32
$HUM,83010.277,60.2,17.2
$BARO,83010.316,102002.50,16.32
$IMU,83010.317,-4.760,0.366,-30.578,0.09521,-0.22167,0.97314,16.74
$MAG,83010.342,-0.537,-0.363,-0.171,14.4
$BARO,83010.356,101990.80,16.31
$HUM,83010.357,60.2,17.2
$IMU,83010.393,1.892,2.258,-18.310,0.02783,-0.18896,0.67578,16.76
$BARO,83010.397,101992.65,16.32
$BARO,83010.437,101999.35,16.32
$HUM,83010.437,60.2,17.2
$MAG,83010.438,-0.537,-0.384,-0.160,14.4
$IMU,83010.470,14.953,8.605,-23.132,-0.02246,-0.01904,0.63378,16.77
$BARO,83010.477,101993.04,16.32
$BARO,83010.517,101986.56,16.32
