$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,c0fcb0e276e8587074cd6e18
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,83857.422,-2.502,0.793,-4.150,0.04687,-0.07177,0.95507,16.36
$IMU,83857.498,-0.976,-4.028,-11.657,0.04980,-0.05517,1.00537,16.41
$BARO,83857.512,101871.33,16.06
$MAG,83857.517,-0.613,-0.585,-0.187,14.2
$BARO,83857.552,101863.41,16.07
$HUM,83857.556,57.9,16.8
$IMU,83857.574,0.793,-5.615,-11.230,0.03808,0.00048,1.02001,16.37
$BARO,83857.592,101874.77,16.07
$MAG,83857.613,-0.604,-0.580,-0.175,14.3
$BARO,83857.633,101864.78,16.07
$HUM,83857.636,58.1,16.9
$IMU,83857.651,-1.708,-8.300,-9.155,0.12011,-0.05419,0.98437,16.43
$BARO,83857.673,101861.32,16.08
$MAG,83857.709,-0.622,-0.594,-0.181,14.3
$BARO,83857.713,101873.33,16.08
$HUM,83857.716,58.1,16.9
$IMU,83857.727,2.685,-5.859,-7.019,0.12646,-0.03222,0.99951,16.42
$BARO,83857.753,101874.92,16.07
$BARO,83857.794,101869.65,16.08
$HUM,83857.797,58.2,16.9
$MAG,83857.804,-0.619,-0.607,-0.177,14.3
$IMU,83857.804,-1.220,-4.516,-16.418,0.12939,-0.01806,1.01025,16.41
$BARO,83857.834,101872.63,16.08
$BARO,83857.874,101860.93,16.07
$HUM,83857.877,58.1,16.9
$IMU,83857.880,-7.873,-4.516,-22.949,0.12060,-0.01806,1.00585,16.47
$MAG,83857.900,-0.622,-0.603,-0.171,14.4
$BARO,83857.915,101875.58,16.08
$BARO,83857.955,101869.58,16.08
$HUM,83857.957,58.1,16.9
$IMU,83857.957,-9.521,-3.051,-24.169,0.16845,-0.05810,1.00244,16.41
$BARO,83857.995,101877.67,16.09
$MAG,83857.996,-0.618,-0.603,-0.175,14.3
$IMU,83858.033,-2.075,1.586,-22.277,0.06787,-0.07226,1.00683,16.48
$BARO,83858.035,101867.75,16.09
$HUM,83858.038,58.1,16.9
$BARO,83858.076,101865.87,16.09
$MAG,83858.091,-0.622,-0.606,-0.168,14.3
$IMU,83858.109,2.929,0.671,-25.573,0.13818,-0.03076,1.00585,16.44
$BARO,83858.116,101867.04,16.09
$HUM,83858.118,58.0,16.9
$BARO,83858.156,101864.36,16.09
$IMU,83858.186,0.915,1.953,-24.902,0.05957,-0.04833,1.04443,16.50
$MAG,83858.187,-0.607,-0.627,-0.175,14.2
$BARO,83858.196,101878.67,16.09
$HUM,83858.198,58.0,16.9
$BARO,83858.237,101872.16,16.09
$IMU,83858.262,0.000,-9.887,-26.916,0.13378,-0.01806,1.02587,16.46
$BARO,83858.277,101868.43,16.09
$HUM,83858.278,58.1,16.9
$MAG,83858.283,-0.613,-0.634,-0.174,14.4
$BARO,83858.317,101873.63,16.10
$IMU,83858.339,-5.981,-17.028,-29.663,0.20068,-0.01513,0.97460,16.47
$VBAT,83858.355,4.085
$BARO,83858.357,101869.21,16.09
$HUM,83858.359,58.1,16.9
$MAG,83858.378,-0.616,-0.642,-0.172,14.3
$BARO,83858.398,101875.41,16.10
$IMU,83858.415,-11.169,-12.390,-33.935,0.20703,-0.06250,0.97607,16.50
$BARO,83858.438,101876.58,16.10
$HUM,83858.439,58.1,16.9
$MAG,83858.474,-0.613,-0.651,-0.171,14.3
$BARO,83858.478,101878.74,16.09
$IMU,83858.492,-7.263,-6.652,-29.235,0.22558,-0.08154,0.98583,16.50
$BARO,83858.518,101874.60,16.10
$HUM,83858.519,58.1,16.9
$BARO,83858.559,101877.55,16.10
$IMU,83858.568,3.845,-4.577,-15.075,0.19775,0.00781,1.01367,16.51
$MAG,83858.570,-0.622,-0.663,-0.166,14.2
$BARO,83858.599,101874.80,16.10
$HUM,83858.599,58.2,17.0
$BARO,83858.639,101869.95,16.10
$IMU,83858.644,3.662,1.953,-13.793,0.22558,-0.01953,0.99658,16.47
$MAG,83858.665,-0.607,-0.666,-0.160,14.4
$BARO,83858.680,101873.28,16.10
$HUM,83858.680,58.2,17.0
$BARO,83858.720,101876.14,16.10
$IMU,83858.721,1.708,7.080,-12.390,0.25292,-0.00976,0.97705,16.50
$BARO,83858.760,101888.25,16.10
$HUM,83858.760,58.0,16.9
$MAG,83858.761,-0.597,-0.667,-0.178,14.4
$IMU,83858.797,9.277,18.127,-7.751,0.27099,-0.02246,0.99316,16.50
$BARO,83858.800,101872.50,16.10
$HUM,83858.840,58.0,16.9
