$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,40160bd60d43c4eaa9b6a1f1
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,88554.592,-2.197,2.441,-6.530,0.15429,0.27343,0.93164,12.81
$IMU,88554.668,-11.901,3.479,-23.437,0.14794,0.20556,0.91406,12.83
$BARO,88554.682,101643.48,12.28
$MAG,88554.688,-0.639,-0.688,-0.084,10.3
$BARO,88554.723,101646.23,12.28
$HUM,88554.727,68.1,12.9
$IMU,88554.745,-13.854,-0.366,-18.737,0.19042,0.16015,0.85107,12.84
$BARO,88554.763,101641.48,12.29
$MAG,88554.784,-0.630,-0.675,-0.093,10.3
$BARO,88554.804,101634.82,12.29
$HUM,88554.807,68.3,13.0
$IMU,88554.821,-14.587,-4.882,-16.418,0.19042,0.12158,0.87548,12.84
$BARO,88554.844,101636.07,12.30
$MAG,88554.879,-0.636,-0.654,-0.097,10.3
$BARO,88554.884,101632.75,12.30
$HUM,88554.887,68.3,12.9
$IMU,88554.898,-21.057,-13.549,-8.239,0.25878,0.08251,0.92431,12.84
$BARO,88554.925,101644.55,12.30
$BARO,88554.965,101645.40,12.30
$HUM,88554.968,68.4,12.9
$IMU,88554.974,-27.465,-14.526,5.371,0.29199,0.00585,0.96630,12.88
$MAG,88554.975,-0.667,-0.624,-0.091,10.0
$BARO,88555.005,101639.53,12.30
$BARO,88555.046,101637.58,12.30
$HUM,88555.048,68.4,13.0
$IMU,88555.051,-24.902,-8.789,10.864,0.28076,0.01611,1.00878,12.89
$MAG,88555.070,-0.663,-0.604,-0.097,10.3
$BARO,88555.086,101636.02,12.31
$BARO,88555.127,101629.05,12.31
$IMU,88555.127,-23.681,-7.690,8.728,0.26611,0.02294,0.98925,12.88
$HUM,88555.128,68.4,13.0
$MAG,88555.165,-0.672,-0.579,-0.093,10.3
$BARO,88555.167,101637.85,12.31
$IMU,88555.203,-23.193,-7.446,4.516,0.28466,-0.01269,0.98095,12.88
$BARO,88555.207,101639.09,12.31
$HUM,88555.209,68.4,12.9
$BARO,88555.248,101630.49,12.32
$MAG,88555.261,-0.676,-0.552,-0.093,10.3
$IMU,88555.280,-21.667,-7.324,1.831,0.32031,-0.09375,0.98535,12.89
$BARO,88555.288,101631.46,12.31
$HUM,88555.289,68.3,13.0
$BARO,88555.328,101633.68,12.32
$MAG,88555.356,-0.687,-0.546,-0.087,10.3
$IMU,88555.356,-15.319,-4.638,1.464,0.34912,-0.12158,0.99218,12.91
$BARO,88555.369,101629.71,12.32
$HUM,88555.369,68.5,12.9
$BARO,88555.409,101635.77,12.32
$IMU,88555.433,-10.314,0.305,3.417,0.31982,-0.13623,0.97900,12.90
$BARO,88555.449,101630.29,12.32
$HUM,88555.450,68.4,13.0
$MAG,88555.451,-0.685,-0.534,-0.087,10.4
$BARO,88555.490,101635.92,12.32
$IMU,88555.509,-6.042,2.014,1.647,0.30078,-0.13427,0.96240,12.92
$BARO,88555.530,101635.14,12.32
$HUM,88555.530,68.3,13.0
$VBAT,88555.544,4.164
$MAG,88555.547,-0.696,-0.531,-0.094,10.4
$BARO,88555.570,101639.11,12.33
$IMU,88555.585,-1.647,0.549,-0.549,0.29248,-0.12841,0.96435,12.88
$HUM,88555.610,68.4,13.0
$BARO,88555.611,101624.46,12.33
$MAG,88555.642,-0.690,-0.534,-0.094,10.4
$BARO,88555.651,101625.95,12.33
$IMU,88555.662,2.075,-0.732,-3.051,0.30029,-0.14160,0.97460,12.96
$BARO,88555.691,101635.80,12.33
$HUM,88555.691,68.4,13.0
$BARO,88555.732,101637.04,12.33
$MAG,88555.738,-0.678,-0.537,-0.093,10.3
$IMU,88555.738,5.371,-0.305,-2.685,0.31250,-0.12548,0.97412,12.91
$HUM,88555.771,68.4,13.0
$BARO,88555.772,101629.80,12.33
$BARO,88555.812,101632.07,12.33
$IMU,88555.815,7.080,0.488,-2.014,0.28613,-0.09130,0.96728,12.90
$MAG,88555.833,-0.682,-0.552,-0.085,10.3
$HUM,88555.852,68.4,13.0
$BARO,88555.853,101635.99,12.33
$IMU,88555.891,6.225,-0.488,-3.295,0.28857,-0.08984,0.95312,12.97
$BARO,88555.893,101636.90,12.34
$MAG,88555.929,-0.687,-0.552,-0.097,10.4
$HUM,88555.932,68.4,13.0
$BARO,88555.933,101643.43,12.33
$IMU,88555.968,4.699,-0.976,-2.380,0.29785,-0.09082,0.96044,12.95
$BARO,88555.974,101636.43,12.33
$HUM,88556.012,68.4,13.0
