$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,1460276875855677b21e5c6f
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,89511.076,-2.624,3.356,-2.685,-0.23437,0.14355,0.92822,17.18
$IMU,89511.152,-12.390,3.845,-5.981,-0.13476,0.07861,0.95800,17.19
$BARO,89511.166,101633.07,16.82
$MAG,89511.172,-0.487,-0.643,-0.175,15.0
$BARO,89511.206,101632.09,16.82
$HUM,89511.210,62.1,17.6
$IMU,89511.229,-9.338,6.408,-2.380,-0.18554,0.05664,0.97851,17.18
$BARO,89511.246,101628.41,16.82
$MAG,89511.267,-0.489,-0.646,-0.186,15.0
$BARO,89511.287,101624.00,16.82
$HUM,89511.290,62.2,17.6
$IMU,89511.305,-3.967,4.394,-1.708,-0.22412,0.11132,1.00830,17.20
$BARO,89511.327,101638.94,16.83
$MAG,89511.363,-0.484,-0.648,-0.166,15.0
$BARO,89511.367,101630.07,16.83
$HUM,89511.371,62.2,17.6
$IMU,89511.382,-5.187,-1.647,-2.685,-0.19189,0.08251,0.98242,17.20
$BARO,89511.408,101639.33,16.83
$BARO,89511.448,101640.77,16.83
$HUM,89511.451,62.2,17.6
$IMU,89511.458,-3.479,-1.647,-2.258,-0.17480,0.07763,0.97314,17.21
$MAG,89511.459,-0.480,-0.634,-0.181,15.2
$BARO,89511.488,101630.34,16.83
$BARO,89511.528,101627.37,16.83
$HUM,89511.531,62.1,17.7
$IMU,89511.535,-0.427,3.234,-1.953,-0.19580,0.07128,0.97021,17.24
$MAG,89511.555,-0.487,-0.633,-0.175,15.2
$BARO,89511.569,101620.54,16.84
$BARO,89511.609,101614.23,16.84
$IMU,89511.611,1.464,5.981,-2.502,-0.22705,0.09130,0.99755,17.22
$HUM,89511.612,62.2,17.7
$BARO,89511.649,101625.07,16.84
$MAG,89511.651,-0.480,-0.643,-0.181,15.0
$IMU,89511.687,0.671,3.662,-6.103,-0.22705,0.04785,0.99560,17.27
$BARO,89511.689,101618.05,16.84
$HUM,89511.692,62.0,17.7
$BARO,89511.730,101627.39,16.85
$MAG,89511.746,-0.475,-0.652,-0.181,15.2
$IMU,89511.764,2.685,0.549,-9.704,-0.21240,0.08398,0.99169,17.28
$BARO,89511.770,101623.25,16.85
$HUM,89511.772,62.1,17.7
$BARO,89511.810,101622.44,16.85
$IMU,89511.840,2.868,0.732,-6.652,-0.20410,0.10058,0.98291,17.26
$MAG,89511.842,-0.475,-0.648,-0.175,15.0
$BARO,89511.851,101624.42,16.85
$HUM,89511.852,62.2,17.7
$BARO,89511.891,101627.19,16.85
$IMU,89511.917,3.112,3.051,-2.014,-0.23339,0.09082,0.98583,17.30
$BARO,89511.931,101632.00,16.85
$HUM,89511.933,62.1,17.7
$MAG,89511.938,-0.478,-0.639,-0.169,15.2
$BARO,89511.971,101635.02,16.85
$IMU,89511.993,4.943,1.708,0.122,-0.22900,0.09863,0.98828,17.29
$BARO,89512.012,101632.97,16.85
$HUM,89512.013,62.2,17.8
$VBAT,89512.017,4.114
$MAG,89512.034,-0.472,-0.657,-0.175,15.2
$BARO,89512.052,101633.58,16.85
$IMU,89512.070,3.967,0.122,-0.366,-0.22119,0.09130,0.97509,17.30
$BARO,89512.092,101632.07,16.86
$HUM,89512.093,62.1,17.7
$MAG,89512.129,-0.472,-0.658,-0.172,15.0
$BARO,89512.132,101631.29,16.86
$IMU,89512.146,3.601,-0.976,-1.647,-0.20214,0.12451,0.97949,17.29
$BARO,89512.173,101628.78,16.86
$HUM,89512.174,62.1,17.7
$BARO,89512.213,101622.20,16.86
$IMU,89512.222,0.854,-1.464,-0.732,-0.20068,0.09667,0.97998,17.25
$MAG,89512.225,-0.489,-0.658,-0.166,15.2
$BARO,89512.253,101634.90,16.86
$HUM,89512.254,62.1,17.7
$BARO,89512.293,101648.18,16.87
$IMU,89512.299,1.159,-3.295,-3.173,-0.19335,0.10839,0.98583,17.29
$MAG,89512.321,-0.486,-0.655,-0.171,15.2
$BARO,89512.334,101638.24,16.86
$HUM,89512.334,62.2,17.7
$BARO,89512.374,101635.29,16.86
$IMU,89512.375,3.784,-5.065,-5.126,-0.18066,0.10742,0.99462,17.31
$BARO,89512.414,101638.53,16.87
$HUM,89512.415,62.2,17.8
$MAG,89512.417,-0.483,-0.663,-0.168,15.2
$IMU,89512.452,5.798,-3.662,-8.789,-0.19042,0.11035,0.99707,17.31
$BARO,89512.455,101628.54,16.87
$BARO,89512.495,101637.99,16.87
$HUM,89512.495,62.1,17.8
