$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,03742bfb00ba72d2aec3279c
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,93171.309,-3.112,-1.464,-0.183,0.02636,-0.07714,0.95654,17.92
$IMU,93171.386,-3.784,-4.211,8.972,0.00048,-0.12939,1.02441,17.94
$BARO,93171.401,101139.69,17.42
$MAG,93171.407,-0.526,-0.607,-0.205,15.5
$BARO,93171.442,101133.77,17.42
$HUM,93171.446,55.1,18.4
$IMU,93171.462,1.464,-7.141,4.821,-0.09619,-0.12500,1.06396,17.93
$BARO,93171.482,101143.38,17.43
$MAG,93171.503,-0.534,-0.621,-0.183,15.8
$BARO,93171.522,101148.10,17.43
$HUM,93171.526,55.1,18.4
$IMU,93171.539,2.258,-22.705,-6.164,0.11181,-0.08691,1.07958,17.98
$BARO,93171.563,101136.92,17.43
$MAG,93171.599,-0.543,-0.627,-0.193,15.5
$BARO,93171.603,101146.64,17.44
$HUM,93171.606,55.1,18.4
$IMU,93171.615,2.380,-15.747,-2.197,0.38085,-0.04345,1.12207,17.98
$BARO,93171.643,101142.96,17.44
$BARO,93171.683,101138.74,17.44
$HUM,93171.687,55.2,18.4
$IMU,93171.691,-1.464,27.404,3.906,0.24121,0.01757,1.20654,18.01
$MAG,93171.695,-0.510,-0.625,-0.214,15.8
$BARO,93171.724,101144.16,17.44
$BARO,93171.764,101139.21,17.44
$HUM,93171.767,55.2,18.4
$IMU,93171.768,-18.432,73.608,11.657,0.39648,0.01123,1.29101,17.98
$MAG,93171.790,-0.435,-0.594,-0.247,15.7
$BARO,93171.804,101143.38,17.44
$BARO,93171.844,101145.20,17.44
$IMU,93171.844,-28.259,163.146,69.213,-0.02929,-0.21582,0.79980,17.95
$HUM,93171.847,54.9,18.4
$BARO,93171.885,101131.72,17.44
$MAG,93171.886,-0.243,-0.577,-0.244,15.9
$IMU,93171.921,-12.695,210.327,84.960,-0.92626,-0.01318,0.29687,17.99
$BARO,93171.925,101135.33,17.45
$HUM,93171.927,54.1,18.4
$BARO,93171.965,101141.06,17.45
$MAG,93171.982,-0.162,-0.600,-0.201,15.7
$IMU,93171.997,8.605,122.741,68.908,-0.97021,-0.02734,0.31787,18.00
$BARO,93172.005,101132.16,17.45
$HUM,93172.008,54.0,18.4
$BARO,93172.046,101130.85,17.45
$IMU,93172.074,27.465,49.987,29.235,-0.83349,0.06103,0.29687,17.95
$MAG,93172.078,-0.132,-0.628,-0.189,15.9
$BARO,93172.086,101144.47,17.45
$HUM,93172.088,53.9,18.4
$BARO,93172.126,101144.28,17.45
$IMU,93172.150,12.695,15.380,18.859,-0.83496,0.17578,0.37255,18.04
$BARO,93172.166,101143.81,17.45
$HUM,93172.168,54.0,18.5
$MAG,93172.174,-0.133,-0.643,-0.178,15.8
$BARO,93172.207,101143.08,17.45
$IMU,93172.226,-15.075,11.352,15.808,-0.63037,0.21289,0.57666,18.06
$VBAT,93172.242,4.018
$BARO,93172.247,101135.06,17.45
$HUM,93172.249,53.9,18.5
$MAG,93172.269,-0.109,-0.621,-0.174,15.5
$BARO,93172.287,101137.43,17.46
$IMU,93172.303,-37.048,36.254,28.381,-0.70214,0.13964,0.63525,18.06
$BARO,93172.328,101139.87,17.46
$HUM,93172.329,54.1,18.5
$MAG,93172.365,-0.079,-0.598,-0.142,15.9
$BARO,93172.368,101138.04,17.46
$IMU,93172.379,-37.841,59.631,33.996,-0.94287,0.16015,0.48339,18.03
$BARO,93172.408,101137.11,17.46
$HUM,93172.409,54.1,18.5
$BARO,93172.448,101132.89,17.46
$IMU,93172.456,-23.254,35.583,12.451,-1.12597,0.07275,0.23828,18.01
$MAG,93172.461,-0.072,-0.592,-0.141,15.9
$BARO,93172.489,101138.87,17.46
$HUM,93172.490,54.0,18.5
$BARO,93172.529,101138.87,17.46
$IMU,93172.532,-9.704,-8.789,8.605,-1.09814,0.07861,0.24169,18.04
$MAG,93172.557,-0.084,-0.603,-0.156,15.9
$BARO,93172.569,101144.67,17.46
$HUM,93172.570,54.0,18.5
$IMU,93172.609,2.929,-50.720,-7.507,-1.08740,0.26171,0.35253,18.02
$BARO,93172.609,101145.01,17.46
$BARO,93172.650,101142.42,17.46
$HUM,93172.650,54.2,18.5
$MAG,93172.653,-0.154,-0.591,-0.216,15.8
$IMU,93172.685,-2.868,-86.120,-30.334,-0.91845,0.23779,0.56250,18.08
$BARO,93172.690,101139.87,17.46
$BARO,93172.730,101138.35,17.46
$HUM,93172.731,54.2,18.5
