$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,083101b4e945ea224c5f9f97
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,93872.937,0.244,0.549,-0.366,-0.04882,-0.07812,0.93017,12.87
$IMU,93873.013,0.549,-4.455,-0.427,-0.05908,-0.03906,0.97265,12.88
$BARO,93873.027,100344.73,12.63
$MAG,93873.033,-0.582,-0.594,-0.157,10.4
$BARO,93873.068,100333.64,12.64
$HUM,93873.072,67.0,13.3
$IMU,93873.089,-9.338,-0.610,-8.544,-0.08447,-0.10156,0.98046,12.93
$BARO,93873.108,100339.59,12.64
$MAG,93873.129,-0.580,-0.583,-0.153,10.7
$BARO,93873.149,100335.81,12.64
$HUM,93873.152,66.9,13.3
$IMU,93873.166,-11.840,1.525,-15.136,-0.27148,-0.09814,1.03808,12.90
$BARO,93873.189,100340.61,12.65
$MAG,93873.224,-0.589,-0.585,-0.159,10.7
$BARO,93873.229,100337.27,12.65
$HUM,93873.232,66.8,13.3
$IMU,93873.242,-0.427,-14.587,1.281,-0.10449,-0.17626,0.97412,12.91
$BARO,93873.270,100343.53,12.65
$BARO,93873.310,100333.22,12.65
$HUM,93873.313,66.9,13.3
$IMU,93873.319,-10.864,-28.198,1.220,-0.01562,0.01171,0.94384,12.98
$MAG,93873.320,-0.616,-0.570,-0.153,10.5
$BARO,93873.350,100334.42,12.65
$BARO,93873.390,100336.64,12.65
$HUM,93873.393,66.9,13.4
$IMU,93873.395,-31.860,-23.071,11.169,0.02978,-0.14892,0.99609,12.99
$MAG,93873.415,-0.625,-0.519,-0.151,10.7
$BARO,93873.431,100341.66,12.65
$BARO,93873.471,100340.85,12.65
$IMU,93873.472,-36.621,-14.099,12.390,0.04980,-0.34960,1.00537,12.94
$HUM,93873.473,66.9,13.4
$MAG,93873.510,-0.624,-0.498,-0.157,10.7
$BARO,93873.511,100335.05,12.66
$IMU,93873.548,-18.432,-5.249,5.004,0.03466,-0.40576,0.97851,12.97
$BARO,93873.552,100334.71,12.66
$HUM,93873.554,66.7,13.4
$BARO,93873.592,100342.14,12.66
$MAG,93873.606,-0.634,-0.507,-0.144,10.5
$IMU,93873.624,2.441,-1.098,-0.732,0.02880,-0.24267,0.97753,12.97
$BARO,93873.632,100338.20,12.65
$HUM,93873.634,66.9,13.4
$BARO,93873.673,100339.41,12.66
$MAG,93873.701,-0.631,-0.496,-0.150,10.7
$IMU,93873.701,1.770,1.281,-0.854,0.02539,-0.23437,0.97119,12.95
$BARO,93873.713,100351.31,12.66
$HUM,93873.714,66.8,13.4
$BARO,93873.753,100337.46,12.66
$IMU,93873.777,-0.366,3.417,0.305,0.02392,-0.29345,0.97460,13.00
$BARO,93873.794,100332.96,12.66
$HUM,93873.795,66.8,13.4
$MAG,93873.796,-0.624,-0.513,-0.162,10.7
$BARO,93873.834,100334.00,12.67
$IMU,93873.854,2.929,4.455,-1.708,-0.00830,-0.26757,0.99072,12.97
$BARO,93873.874,100342.80,12.66
$HUM,93873.875,66.7,13.4
$VBAT,93873.882,3.995
$MAG,93873.892,-0.621,-0.507,-0.162,10.7
$BARO,93873.915,100342.02,12.66
$IMU,93873.930,2.380,1.220,-2.929,-0.00097,-0.26123,0.97216,12.97
$BARO,93873.955,100342.49,12.67
$HUM,93873.955,66.8,13.4
$MAG,93873.987,-0.621,-0.507,-0.160,10.7
$BARO,93873.995,100342.10,12.67
$IMU,93874.006,2.502,-0.122,-1.770,0.00585,-0.25244,0.97607,13.00
$BARO,93874.036,100335.64,12.67
$HUM,93874.036,66.8,13.4
$BARO,93874.076,100334.32,12.67
$MAG,93874.083,-0.621,-0.517,-0.160,10.7
$IMU,93874.083,1.403,0.488,-2.075,0.00830,-0.26367,0.98046,13.02
$BARO,93874.116,100348.02,12.68
$HUM,93874.116,66.8,13.4
$BARO,93874.157,100344.44,12.67
$IMU,93874.159,0.854,1.037,-3.173,0.00732,-0.25878,0.96923,12.98
$MAG,93874.178,-0.624,-0.517,-0.162,10.8
$HUM,93874.196,66.8,13.4
$BARO,93874.197,100339.39,12.67
$IMU,93874.236,0.793,1.647,-2.807,0.00195,-0.26318,0.93847,13.02
$BARO,93874.237,100341.10,12.67
$MAG,93874.273,-0.603,-0.516,-0.160,10.7
$HUM,93874.277,66.9,13.4
$BARO,93874.278,100336.22,12.67
$IMU,93874.312,1.281,6.103,-7.934,-0.00048,-0.23486,0.97558,13.00
$BARO,93874.318,100337.78,12.67
$HUM,93874.357,66.7,13.4
