$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,8a0d8e9ff2e531f079697ecd
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,100514.145,-7.385,-0.915,-4.638,-0.11816,-0.38232,1.11132,10.71
$IMU,100514.222,-11.474,-12.084,-16.296,0.04052,-0.25537,1.10156,10.78
$BARO,100514.237,100826.26,10.52
$MAG,100514.243,-0.177,-0.531,-0.156,8.4
$BARO,100514.277,100834.74,10.52
$HUM,100514.281,75.3,11.1
$IMU,100514.298,-8.911,-4.333,-20.812,-0.02978,-0.16943,0.84570,10.73
$BARO,100514.318,100830.99,10.52
$MAG,100514.338,-0.174,-0.519,-0.157,8.5
$BARO,100514.358,100833.59,10.52
$HUM,100514.362,75.3,11.1
$IMU,100514.375,-7.446,-4.272,-27.832,-0.05078,-0.12402,0.72119,10.76
$BARO,100514.399,100836.57,10.53
$MAG,100514.433,-0.168,-0.508,-0.163,8.5
$BARO,100514.439,100824.89,10.53
$HUM,100514.442,75.2,11.2
$IMU,100514.451,2.990,-4.089,-21.240,-0.01123,-0.05615,0.77978,10.80
$BARO,100514.479,100827.09,10.53
$BARO,100514.520,100834.15,10.54
$HUM,100514.522,75.3,11.1
$MAG,100514.528,-0.172,-0.529,-0.166,8.7
$IMU,100514.528,6.713,-2.868,-5.920,-0.01416,0.04687,1.01123,10.77
$BARO,100514.560,100826.70,10.53
$BARO,100514.600,100832.98,10.54
$HUM,100514.603,75.3,11.2
$IMU,100514.604,-10.192,15.686,16.357,-0.04248,-0.14892,1.25927,10.81
$MAG,100514.623,-0.144,-0.501,-0.151,8.5
$BARO,100514.641,100838.44,10.54
$IMU,100514.680,-33.752,31.982,36.499,-0.33642,-0.55566,1.19482,10.81
$BARO,100514.681,100833.84,10.54
$HUM,100514.683,75.3,11.1
$MAG,100514.719,-0.135,-0.496,-0.150,8.7
$BARO,100514.722,100830.67,10.54
$IMU,100514.757,-23.498,3.112,19.958,-0.30175,-0.26660,0.92724,10.78
$BARO,100514.762,100834.62,10.55
$HUM,100514.763,75.3,11.1
$BARO,100514.802,100834.11,10.55
$MAG,100514.814,-0.142,-0.484,-0.150,8.4
$IMU,100514.833,-29.479,-11.962,20.202,-0.23486,-0.34179,0.85156,10.83
$BARO,100514.843,100828.13,10.54
$HUM,100514.844,75.3,11.2
$BARO,100514.883,100832.86,10.54
$MAG,100514.909,-0.157,-0.475,-0.156,8.5
$IMU,100514.910,-20.690,-13.793,19.409,-0.14208,-0.28857,0.77734,10.81
$BARO,100514.923,100841.83,10.54
$HUM,100514.924,75.4,11.2
$BARO,100514.964,100827.09,10.55
$IMU,100514.986,4.028,-10.864,7.507,-0.11035,-0.21777,0.88134,10.82
$BARO,100515.004,100826.11,10.55
$HUM,100515.004,75.2,11.2
$MAG,100515.004,-0.162,-0.495,-0.166,8.4
$BARO,100515.045,100824.43,10.55
$IMU,100515.062,21.972,-15.686,-5.249,-0.03076,-0.19580,1.02929,10.86
$VBAT,100515.073,4.119
$BARO,100515.085,100827.87,10.55
$HUM,100515.085,75.2,11.2
$MAG,100515.099,-0.180,-0.526,-0.171,8.5
$BARO,100515.125,100829.86,10.55
$IMU,100515.139,35.583,-24.475,-28.686,0.02441,-0.23925,1.12451,10.86
$HUM,100515.165,75.3,11.2
$BARO,100515.166,100840.66,10.56
$MAG,100515.195,-0.202,-0.552,-0.178,8.4
$BARO,100515.206,100831.81,10.55
$IMU,100515.215,45.959,-31.616,-54.809,0.22851,-0.09765,1.23583,10.86
$HUM,100515.245,75.3,11.2
$BARO,100515.246,100831.50,10.56
$BARO,100515.287,100822.28,10.55
$MAG,100515.290,-0.205,-0.543,-0.177,8.4
$IMU,100515.292,26.916,-15.991,-52.734,0.15185,-0.18945,1.12402,10.87
$HUM,100515.326,75.3,11.2
$BARO,100515.327,100825.45,10.56
$BARO,100515.367,100835.91,10.55
$IMU,100515.368,15.319,-9.094,-31.311,-0.04980,-0.12207,0.99755,10.88
$MAG,100515.385,-0.229,-0.553,-0.187,8.4
$HUM,100515.406,75.3,11.2
$BARO,100515.408,100833.13,10.56
$IMU,100515.444,-4.455,-19.409,-32.958,0.15283,-0.20605,0.80664,10.86
$BARO,100515.448,100835.01,10.56
$MAG,100515.480,-0.235,-0.525,-0.195,8.5
$HUM,100515.486,75.2,11.2
$BARO,100515.489,100833.37,10.55
$IMU,100515.521,-3.173,-12.573,-26.916,0.18847,-0.18115,0.66406,10.84
$BARO,100515.529,100835.98,10.56
