$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,59977b33188e4ae56ebd6c15
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,102517.616,-1.831,-5.126,-5.187,-0.05175,-0.04443,0.84082,11.36
$BARO,102515.065,100611.83,13.41
$IMU,102517.692,3.540,-20.874,-24.108,0.20507,-0.09960,1.01953,11.37
$BARO,102517.708,101486.14,11.21
$MAG,102517.714,-0.490,-0.388,-0.151,9.2
$BARO,102517.748,101484.72,11.21
$HUM,102517.752,69.4,6.1
$IMU,102517.769,9.521,8.850,-26.428,0.12109,-0.06884,1.17480,11.39
$BARO,102517.789,101485.89,11.22
$MAG,102517.809,-0.486,-0.384,-0.141,9.2
$BARO,102517.829,101479.34,11.22
$HUM,102517.833,70.2,11.8
$IMU,102517.845,-4.943,24.780,-29.479,-0.18994,-0.23681,1.20068,11.45
$BARO,102517.870,101477.65,11.22
$MAG,102517.904,-0.492,-0.387,-0.138,9.4
$BARO,102517.910,101489.23,11.23
$HUM,102517.913,70.1,11.8
$IMU,102517.921,-8.911,10.437,-39.733,0.04248,-0.23437,1.06591,11.40
$BARO,102517.950,101483.36,11.23
$BARO,102517.991,101477.70,11.23
$HUM,102517.993,70.1,11.8
$IMU,102517.998,-5.798,8.117,-34.362,-0.03417,-0.10253,0.82031,11.42
$MAG,102518.000,-0.507,-0.385,-0.141,9.0
$BARO,102518.031,101481.21,11.23
$BARO,102518.071,101482.97,11.23
$HUM,102518.074,70.2,11.9
$IMU,102518.074,2.441,13.854,-26.245,-0.13623,-0.03320,0.78955,11.42
$MAG,102518.095,-0.502,-0.393,-0.144,9.2
$BARO,102518.112,101484.63,11.23
$IMU,102518.151,5.676,8.850,-24.169,-0.09228,-0.01367,0.90966,11.45
$BARO,102518.152,101475.36,11.23
$HUM,102518.154,69.9,11.8
$MAG,102518.190,-0.499,-0.417,-0.151,9.4
$BARO,102518.192,101481.29,11.23
$IMU,102518.227,5.798,5.676,-19.592,-0.04589,0.00195,1.07666,11.43
$BARO,102518.233,101499.06,11.23
$HUM,102518.234,70.1,11.8
$BARO,102518.273,101483.92,11.24
$MAG,102518.286,-0.486,-0.420,-0.148,9.3
$IMU,102518.304,4.455,16.479,-1.525,-0.16650,-0.13134,1.13037,11.49
$BARO,102518.313,101484.82,11.23
$HUM,102518.315,70.0,11.9
$BARO,102518.354,101486.70,11.24
$IMU,102518.380,-7.507,24.597,13.366,-0.37988,-0.20410,1.15380,11.44
$MAG,102518.381,-0.472,-0.409,-0.141,9.3
$BARO,102518.394,101485.28,11.24
$HUM,102518.395,69.9,11.9
$BARO,102518.434,101491.52,11.24
$IMU,102518.456,-11.657,2.807,27.404,-0.31689,-0.31884,1.03027,11.45
$BARO,102518.475,101488.21,11.24
$HUM,102518.475,69.9,11.9
$MAG,102518.476,-0.471,-0.406,-0.141,9.4
$BARO,102518.515,101489.43,11.24
$IMU,102518.533,-1.403,-4.638,28.869,-0.34033,-0.14990,0.94091,11.46
$BARO,102518.555,101480.38,11.24
$VBAT,102518.555,4.063
$HUM,102518.556,69.9,11.9
$MAG,102518.571,-0.472,-0.390,-0.142,9.4
$BARO,102518.596,101483.38,11.24
$IMU,102518.609,-5.371,-19.836,20.019,-0.19580,0.00585,0.78613,11.48
$BARO,102518.636,101487.23,11.25
$HUM,102518.636,70.0,11.8
$MAG,102518.667,-0.477,-0.378,-0.138,9.4
$BARO,102518.677,101491.06,11.25
$IMU,102518.686,-11.169,-27.526,14.343,-0.08593,-0.03417,0.77929,11.49
$HUM,102518.716,70.0,11.9
$BARO,102518.717,101483.38,11.24
$BARO,102518.757,101488.06,11.24
$MAG,102518.762,-0.477,-0.376,-0.139,9.3
$IMU,102518.762,-2.685,-17.578,10.192,-0.07128,-0.11718,0.92089,11.47
$HUM,102518.797,70.2,11.9
$BARO,102518.798,101480.58,11.25
$BARO,102518.838,101481.75,11.25
$IMU,102518.838,7.995,-11.413,-1.831,-0.10595,-0.11132,1.13183,11.47
$MAG,102518.857,-0.501,-0.385,-0.151,9.3
$HUM,102518.877,70.3,11.8
$BARO,102518.878,101489.50,11.25
$IMU,102518.915,5.187,-25.756,-10.437,-0.02832,-0.14550,1.33642,11.47
$BARO,102518.919,101491.91,11.25
$MAG,102518.952,-0.522,-0.384,-0.135,9.2
$HUM,102518.957,70.3,11.9
$BARO,102518.959,101485.87,11.25
$IMU,102518.991,-4.638,-21.484,-13.366,0.10351,-0.33447,1.11083,11.50
$BARO,102518.999,101485.87,11.25
