$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,e20b15e08ff02f944d88fd3d
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,103401.304,-3.540,-0.793,-5.065,-0.11181,-0.06347,1.19287,16.52
$IMU,103401.381,-18.005,-7.690,-19.592,-0.04443,-0.25048,1.34912,16.54
$BARO,103401.394,101540.79,16.42
$MAG,103401.400,-0.160,-0.405,-0.160,14.4
$BARO,103401.434,101543.15,16.42
$HUM,103401.438,57.1,11.9
$IMU,103401.457,-19.714,-10.131,-15.747,-0.08203,-0.31005,1.05810,16.56
$BARO,103401.475,101544.86,16.43
$MAG,103401.495,-0.178,-0.384,-0.159,14.4
$BARO,103401.515,101538.37,16.43
$HUM,103401.519,57.9,17.2
$IMU,103401.534,-7.263,-9.094,-10.437,0.01171,-0.25292,0.94677,16.56
$BARO,103401.555,101550.58,16.44
$MAG,103401.591,-0.175,-0.376,-0.157,14.5
$BARO,103401.595,101540.59,16.44
$HUM,103401.599,57.9,17.2
$IMU,103401.610,-1.831,-3.173,-15.686,-0.02929,-0.14843,0.77734,16.59
$BARO,103401.636,101544.34,16.44
$BARO,103401.676,101541.47,16.44
$HUM,103401.679,57.9,17.2
$MAG,103401.687,-0.175,-0.391,-0.153,14.4
$IMU,103401.687,4.394,-0.915,-13.977,0.01660,-0.07812,0.75439,16.57
$BARO,103401.716,101544.81,16.44
$BARO,103401.757,101544.61,16.44
$HUM,103401.759,57.8,17.1
$IMU,103401.763,12.390,9.765,-7.568,0.05908,-0.03125,0.84912,16.60
$MAG,103401.782,-0.162,-0.403,-0.154,14.4
$BARO,103401.797,101536.59,16.45
$BARO,103401.837,101543.49,16.45
$IMU,103401.839,26.367,34.667,12.145,0.08056,-0.05908,0.95605,16.58
$HUM,103401.840,57.9,17.2
$BARO,103401.877,101539.35,16.45
$MAG,103401.878,-0.120,-0.447,-0.126,14.4
$IMU,103401.916,40.100,79.223,34.057,-0.10351,0.06005,1.02783,16.63
$BARO,103401.918,101544.88,16.45
$HUM,103401.920,57.9,17.2
$BARO,103401.958,101539.23,16.45
$MAG,103401.974,-0.042,-0.478,-0.055,14.4
$IMU,103401.992,26.184,105.041,42.602,-0.45458,0.16699,1.04980,16.64
$BARO,103401.998,101542.98,16.45
$HUM,103402.000,58.0,17.2
$BARO,103402.038,101541.66,16.46
$MAG,103402.069,-0.004,-0.499,-0.013,14.4
$IMU,103402.069,2.197,88.623,49.743,-0.73095,0.09130,0.92480,16.65
$BARO,103402.079,101535.89,16.45
$HUM,103402.080,58.3,17.2
$BARO,103402.119,101537.20,16.46
$IMU,103402.145,2.380,59.570,57.312,-0.69091,0.02929,0.76464,16.62
$BARO,103402.159,101537.52,16.46
$HUM,103402.161,58.5,17.2
$MAG,103402.165,0.012,-0.549,0.025,14.4
$BARO,103402.199,101538.18,16.46
$IMU,103402.222,30.090,54.443,71.716,-0.43750,0.18945,0.61962,16.65
$BARO,103402.240,101534.37,16.46
$HUM,103402.241,58.4,17.2
$VBAT,103402.251,4.037
$MAG,103402.261,0.019,-0.631,0.088,14.5
$BARO,103402.280,101535.81,16.46
$IMU,103402.298,61.706,74.462,87.768,-0.53222,0.53320,0.46484,16.62
$BARO,103402.320,101538.37,16.46
$HUM,103402.321,57.8,17.2
$MAG,103402.356,0.007,-0.732,0.178,14.4
$BARO,103402.361,101540.15,16.46
$IMU,103402.374,74.401,90.942,111.816,-0.58251,0.77783,0.42822,16.70
$BARO,103402.401,101530.57,16.47
$HUM,103402.402,57.5,17.2
$BARO,103402.441,101536.20,16.46
$IMU,103402.451,54.382,79.406,151.794,-0.51318,1.11523,0.56884,16.68
$MAG,103402.452,-0.088,-0.843,0.243,14.4
$BARO,103402.481,101543.52,16.46
$HUM,103402.482,57.5,17.2
$BARO,103402.522,101544.25,16.47
$IMU,103402.527,-27.893,42.663,180.419,-0.76464,0.92382,0.24609,16.68
$MAG,103402.548,-0.180,-0.895,0.231,14.4
$BARO,103402.562,101541.00,16.47
$HUM,103402.562,57.6,17.2
$BARO,103402.602,101546.73,16.47
$IMU,103402.604,19.653,-5.615,77.636,-0.17138,0.91796,0.45751,16.70
$HUM,103402.642,57.5,17.2
$BARO,103402.643,101537.47,16.47
$MAG,103402.643,-0.226,-0.912,0.283,14.5
$IMU,103402.680,75.134,8.972,57.250,-0.15478,0.88525,0.13623,16.71
$BARO,103402.683,101539.25,16.47
$BARO,103402.723,101547.78,16.47
$HUM,103402.723,57.5,17.2
