$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,0840d28292046f002a4fd0b3
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,104727.024,-1.403,-5.859,-0.915,0.01318,0.00390,0.69335,13.33
$IMU,104727.101,-10.681,-29.846,-4.760,0.12646,-0.09033,0.78710,13.31
$BARO,104727.115,101646.30,13.00
$MAG,104727.121,-0.489,-0.271,-0.118,11.3
$BARO,104727.156,101650.35,13.01
$HUM,104727.160,63.5,13.6
$IMU,104727.177,-7.263,-27.465,-20.263,0.31933,-0.31250,0.98291,13.35
$BARO,104727.196,101663.49,13.01
$MAG,104727.217,-0.517,-0.292,-0.124,11.3
$BARO,104727.237,101647.43,13.01
$HUM,104727.240,63.5,13.7
$IMU,104727.254,13.061,5.493,-40.649,0.33642,-0.30371,1.14257,13.33
$BARO,104727.277,101646.72,13.01
$MAG,104727.312,-0.513,-0.330,-0.135,11.2
$BARO,104727.317,101651.81,13.01
$HUM,104727.320,63.5,13.7
$IMU,104727.330,13.244,50.231,-61.889,0.13623,-0.41552,1.04101,13.38
$BARO,104727.358,101644.96,13.01
$BARO,104727.398,101647.96,13.02
$HUM,104727.401,63.4,13.7
$IMU,104727.407,20.019,69.030,-66.833,-0.08496,-0.21582,1.17236,13.36
$MAG,104727.408,-0.495,-0.342,-0.138,11.3
$BARO,104727.438,101650.96,13.02
$BARO,104727.479,101648.82,13.02
$HUM,104727.481,63.4,13.7
$IMU,104727.483,-0.366,40.344,-42.724,-0.16894,-0.08056,0.83740,13.37
$MAG,104727.503,-0.492,-0.328,-0.133,11.3
$BARO,104727.519,101649.01,13.02
$BARO,104727.559,101648.62,13.02
$IMU,104727.559,-8.972,23.437,-47.546,-0.30224,-0.25048,0.54833,13.38
$HUM,104727.561,63.4,13.8
$MAG,104727.598,-0.505,-0.358,-0.148,11.3
$BARO,104727.600,101647.33,13.02
$IMU,104727.636,26.000,-2.380,-45.349,-0.14306,0.13330,0.84814,13.35
$BARO,104727.640,101651.62,13.02
$HUM,104727.642,63.3,13.7
$BARO,104727.680,101663.25,13.03
$MAG,104727.694,-0.517,-0.372,-0.150,11.3
$IMU,104727.712,8.666,-9.155,-16.784,-0.14208,-0.01123,1.17236,13.36
$BARO,104727.721,101650.25,13.03
$HUM,104727.722,63.3,13.7
$BARO,104727.761,101653.25,13.03
$IMU,104727.789,-6.774,4.577,13.854,-0.22900,-0.13281,1.36767,13.40
$MAG,104727.789,-0.493,-0.355,-0.148,11.3
$BARO,104727.801,101647.57,13.03
$HUM,104727.802,63.3,13.8
$BARO,104727.842,101645.43,13.03
$IMU,104727.865,-23.742,13.732,29.968,-0.37646,-0.45947,1.12402,13.42
$BARO,104727.882,101647.18,13.03
$HUM,104727.883,63.4,13.8
$MAG,104727.884,-0.484,-0.339,-0.139,11.3
$BARO,104727.922,101650.40,13.03
$IMU,104727.941,2.136,-5.187,29.785,-0.25244,-0.28955,0.97167,13.38
$BARO,104727.963,101646.21,13.03
$HUM,104727.963,63.4,13.8
$VBAT,104727.971,4.000
$MAG,104727.980,-0.468,-0.342,-0.136,11.3
$BARO,104728.003,101655.10,13.04
$IMU,104728.018,5.737,-8.605,26.245,-0.18212,-0.19873,0.81738,13.41
$BARO,104728.043,101646.09,13.04
$HUM,104728.043,63.5,13.8
$MAG,104728.075,-0.463,-0.342,-0.145,11.3
$BARO,104728.084,101649.23,13.04
$IMU,104728.094,7.812,-14.465,29.968,-0.09082,-0.12792,0.65966,13.44
$BARO,104728.124,101644.57,13.04
$HUM,104728.124,63.4,13.8
$BARO,104728.164,101644.57,13.04
$MAG,104728.171,-0.465,-0.348,-0.144,11.3
$IMU,104728.171,15.808,-12.023,28.808,-0.02734,0.11816,0.80761,13.40
$HUM,104728.204,63.4,13.8
$BARO,104728.205,101650.55,13.04
$BARO,104728.245,101659.47,13.04
$IMU,104728.247,-1.220,-2.258,12.023,-0.09960,0.03125,1.14160,13.42
$MAG,104728.266,-0.462,-0.333,-0.136,11.0
$BARO,104728.285,101651.18,13.04
$HUM,104728.285,63.4,13.8
$IMU,104728.324,-13.732,-1.892,-14.404,-0.05126,-0.19628,1.32666,13.40
$BARO,104728.325,101646.94,13.04
$MAG,104728.362,-0.474,-0.334,-0.144,11.3
$HUM,104728.365,63.5,13.8
$BARO,104728.366,101654.18,13.04
$IMU,104728.400,-11.230,1.831,-24.047,-0.06884,-0.36816,1.25537,13.41
$BARO,104728.406,101657.71,13.04
$HUM,104728.445,63.3,13.8
