$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,ce8001400cb64aea1ab0fb4f
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,105933.290,-3.845,-2.380,5.432,-0.04345,-0.06591,0.76269,13.39
$IMU,105933.366,4.150,-13.916,21.057,-0.18017,0.04296,0.68945,13.44
$BARO,105933.378,101755.97,13.11
$MAG,105933.384,-0.441,-0.391,-0.172,11.2
$BARO,105933.418,101744.22,13.11
$HUM,105933.422,64.2,13.8
$IMU,105933.442,22.949,-22.094,12.756,0.04394,0.12011,0.88183,13.38
$BARO,105933.458,101751.56,13.12
$MAG,105933.479,-0.456,-0.408,-0.174,11.3
$BARO,105933.499,101739.27,13.12
$HUM,105933.502,64.2,13.8
$IMU,105933.519,25.024,-13.366,-0.122,0.17187,0.10986,1.16699,13.44
$BARO,105933.539,101754.16,13.12
$MAG,105933.574,-0.463,-0.444,-0.175,11.3
$BARO,105933.580,101745.93,13.12
$HUM,105933.583,64.2,13.8
$IMU,105933.595,21.362,-0.976,-19.592,0.10595,0.06396,1.26806,13.45
$BARO,105933.620,101751.99,13.12
$BARO,105933.660,101751.19,13.13
$HUM,105933.663,64.2,13.8
$MAG,105933.670,-0.478,-0.438,-0.181,11.3
$IMU,105933.672,4.089,2.075,-38.879,-0.02490,-0.01562,1.40283,13.44
$BARO,105933.701,101750.39,13.13
$BARO,105933.741,101753.92,13.14
$HUM,105933.743,64.1,13.8
$IMU,105933.748,-15.747,-7.690,-46.813,0.07958,-0.20507,1.09130,13.48
$MAG,105933.765,-0.501,-0.445,-0.174,11.3
$BARO,105933.781,101749.87,13.14
$BARO,105933.821,101746.88,13.13
$HUM,105933.824,64.2,13.9
$IMU,105933.824,0.671,-13.183,-42.236,-0.13232,-0.21142,0.56494,13.50
$MAG,105933.861,-0.522,-0.493,-0.168,11.3
$BARO,105933.862,101756.72,13.14
$IMU,105933.901,31.188,-21.545,-76.599,-0.05419,0.07373,0.50976,13.47
$BARO,105933.902,101744.39,13.14
$HUM,105933.904,64.2,13.9
$BARO,105933.942,101751.31,13.14
$MAG,105933.956,-0.522,-0.574,-0.154,11.2
$IMU,105933.977,44.250,-8.117,-79.895,0.03808,0.43066,0.92919,13.52
$BARO,105933.983,101744.00,13.14
$HUM,105933.984,64.3,13.8
$BARO,105934.023,101753.48,13.14
$MAG,105934.051,-0.480,-0.630,-0.178,11.3
$IMU,105934.054,26.550,30.212,-18.493,-0.08447,0.47070,1.23193,13.49
$BARO,105934.063,101746.49,13.15
$HUM,105934.065,64.3,13.8
$BARO,105934.104,101742.90,13.14
$IMU,105934.130,-0.244,51.086,28.137,-0.46386,0.22753,1.33984,13.52
$BARO,105934.144,101754.19,13.14
$HUM,105934.145,64.3,13.9
$MAG,105934.147,-0.441,-0.592,-0.175,11.3
$BARO,105934.184,101743.17,13.15
$IMU,105934.207,-15.563,12.756,32.104,-0.32226,-0.08300,1.19433,13.50
$BARO,105934.225,101749.56,13.14
$HUM,105934.225,64.2,13.9
$VBAT,105934.226,3.971
$MAG,105934.242,-0.474,-0.544,-0.174,11.3
$BARO,105934.265,101746.29,13.15
$IMU,105934.283,-11.596,-24.536,14.404,0.02392,0.00976,0.75000,13.53
$BARO,105934.305,101738.54,13.15
$HUM,105934.306,64.2,13.9
$MAG,105934.338,-0.484,-0.523,-0.175,11.3
$BARO,105934.346,101743.76,13.15
$IMU,105934.359,-4.577,-21.057,19.592,0.13085,0.11474,0.53125,13.54
$BARO,105934.386,101747.68,13.15
$HUM,105934.386,64.3,13.9
$BARO,105934.426,101743.02,13.15
$MAG,105934.433,-0.478,-0.514,-0.159,11.3
$IMU,105934.436,3.784,-7.690,21.606,-0.02832,0.23144,0.76806,13.50
$HUM,105934.466,64.3,13.9
$BARO,105934.467,101747.80,13.16
$BARO,105934.507,101752.24,13.15
$IMU,105934.512,0.061,-14.343,-3.601,-0.01318,0.20458,1.25195,13.53
$MAG,105934.528,-0.516,-0.531,-0.163,11.3
$BARO,105934.547,101753.60,13.15
$HUM,105934.547,64.3,13.9
$BARO,105934.588,101752.51,13.16
$IMU,105934.589,-4.394,-21.240,-19.348,0.13525,0.18310,1.33300,13.52
$MAG,105934.624,-0.534,-0.517,-0.157,11.4
$HUM,105934.627,64.3,13.9
$BARO,105934.628,101750.48,13.15
$IMU,105934.665,-20.446,-12.084,-12.878,0.03613,0.01367,1.38867,13.58
$BARO,105934.668,101751.46,13.15
$HUM,105934.707,64.3,13.9
