$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,003b0020484e501420353131
$VAR,SESSION_ID,45c4d383b8bfe975e27d27e3
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$IMU,107073.673,-4.638,-1.220,-10.375,0.17529,-0.30175,0.87695,15.66
$IMU,107073.749,-4.455,-12.329,-27.343,0.27832,-0.24707,0.86767,15.72
$BARO,107073.763,101727.28,15.37
$MAG,107073.769,-0.307,-0.405,-0.241,13.4
$BARO,107073.803,101727.84,15.38
$HUM,107073.807,57.8,16.1
$IMU,107073.825,10.681,-13.061,-4.638,0.22412,-0.19628,0.77148,15.72
$BARO,107073.843,101728.62,15.38
$MAG,107073.864,-0.309,-0.417,-0.240,13.4
$BARO,107073.884,101726.06,15.38
$HUM,107073.887,57.8,16.2
$IMU,107073.902,4.882,-9.033,-5.249,0.48388,-0.28515,0.95507,15.75
$BARO,107073.924,101728.96,15.39
$MAG,107073.960,-0.295,-0.424,-0.238,13.5
$BARO,107073.964,101728.38,15.39
$HUM,107073.968,57.9,16.2
$IMU,107073.978,-5.004,12.756,12.084,0.34082,-0.40136,1.01074,15.74
$BARO,107074.005,101724.50,15.39
$BARO,107074.045,101723.52,15.39
$HUM,107074.048,58.2,16.2
$MAG,107074.055,-0.268,-0.469,-0.244,13.5
$IMU,107074.055,31.555,30.334,8.789,-0.10253,-0.20166,1.03173,15.77
$BARO,107074.085,101724.30,15.40
$BARO,107074.126,101726.13,15.40
$HUM,107074.128,58.2,16.2
$IMU,107074.131,43.640,-7.019,-6.347,-0.14306,-0.02197,0.92333,15.79
$MAG,107074.151,-0.288,-0.507,-0.247,13.7
$BARO,107074.166,101725.55,15.40
$BARO,107074.206,101722.67,15.40
$IMU,107074.208,33.935,-52.429,-12.817,0.15576,-0.03515,1.00585,15.80
$HUM,107074.209,58.1,16.2
$BARO,107074.246,101728.18,15.40
$MAG,107074.247,-0.351,-0.504,-0.264,13.5
$IMU,107074.284,15.441,-72.143,-10.070,0.45703,-0.16406,0.92529,15.84
$BARO,107074.287,101735.74,15.41
$HUM,107074.289,57.7,16.2
$BARO,107074.327,101726.94,15.41
$MAG,107074.342,-0.451,-0.496,-0.262,13.5
$IMU,107074.360,18.493,-90.820,1.037,0.67529,-0.07373,0.74414,15.81
$BARO,107074.367,101729.06,15.41
$HUM,107074.369,57.4,16.2
$BARO,107074.408,101730.30,15.41
$IMU,107074.437,25.939,-96.923,13.122,0.66357,0.09521,0.71972,15.79
$MAG,107074.438,-0.543,-0.501,-0.241,13.5
$BARO,107074.448,101729.89,15.41
$HUM,107074.450,57.1,16.3
$BARO,107074.488,101722.04,15.41
$IMU,107074.513,6.958,-86.425,10.009,0.83593,0.11230,0.62304,15.82
$BARO,107074.528,101731.28,15.41
$HUM,107074.530,56.6,16.2
$MAG,107074.534,-0.618,-0.486,-0.207,13.5
$BARO,107074.569,101726.35,15.41
$IMU,107074.590,-16.601,-50.048,17.517,0.83300,-0.06982,0.50634,15.79
$VBAT,107074.600,3.948
$BARO,107074.609,101727.81,15.42
$HUM,107074.611,56.3,16.3
$MAG,107074.629,-0.619,-0.462,-0.207,13.5
$BARO,107074.649,101731.93,15.42
$IMU,107074.666,-13.366,-11.047,17.517,0.89892,-0.22509,0.53125,15.82
$BARO,107074.690,101723.16,15.42
$HUM,107074.691,56.2,16.2
$MAG,107074.725,-0.618,-0.468,-0.220,13.4
$BARO,107074.730,101722.43,15.43
$IMU,107074.743,5.126,12.207,17.028,0.87207,-0.20800,0.62744,15.83
$BARO,107074.770,101729.72,15.43
$HUM,107074.771,56.5,16.3
$BARO,107074.810,101728.28,15.42
$IMU,107074.819,10.803,16.479,7.446,0.73925,-0.17041,0.65917,15.83
$MAG,107074.820,-0.603,-0.462,-0.225,13.5
$BARO,107074.851,101721.14,15.43
$HUM,107074.851,56.7,16.3
$BARO,107074.891,101724.28,15.43
$IMU,107074.895,6.530,3.051,-4.394,0.71289,-0.10351,0.63476,15.82
$MAG,107074.916,-0.607,-0.474,-0.219,13.5
$BARO,107074.931,101729.01,15.43
$HUM,107074.932,56.6,16.2
$BARO,107074.972,101728.20,15.43
$IMU,107074.972,-5.004,-7.446,-6.774,0.79394,-0.05859,0.63232,15.84
$BARO,107075.012,101736.27,15.43
$HUM,107075.012,56.3,16.3
$MAG,107075.012,-0.609,-0.468,-0.210,13.5
$IMU,107075.048,-16.784,-2.685,-3.784,0.82177,-0.12500,0.64257,15.92
$BARO,107075.052,101726.91,15.43
$HUM,107075.092,55.9,16.3
